"Experiment","FDR","peptide_ids"
"TimsOn",0.047,17501
"IMwin",0.047,21603
"IMwin_IMscored",0.047,22005
"TimsOff",0.048,14576
"TimsOn",0.048,17557
"IMwin",0.048,21662
"IMwin_IMscored",0.048,22054
"TimsOff",0.049,14635
"TimsOn",0.049,17630
"IMwin",0.049,21729
"IMwin_IMscored",0.049,22130
"TimsOff",0.05,14672
"TimsOn",0.05,17670
"IMwin",0.05,21794
"IMwin_IMscored",0.05,22173
"TimsOff",0.051,14734
"TimsOn",0.051,17734
"IMwin",0.051,21840
"IMwin_IMscored",0.051,22238
"TimsOff",0.052,14782
"TimsOn",0.052,17822
"IMwin",0.052,21917
"IMwin_IMscored",0.052,22289
"TimsOff",0.053,14827
"TimsOn",0.053,17882
"IMwin",0.053,21975
"IMwin_IMscored",0.053,22366
"TimsOff",0.054,14860
"TimsOn",0.054,17940
"IMwin",0.054,22048
"IMwin_IMscored",0.054,22412
"TimsOff",0.055,14912
"TimsOn",0.055,17998
"IMwin",0.055,22102
"IMwin_IMscored",0.055,22481
"TimsOff",0.056,14971
"TimsOn",0.056,18049
"IMwin",0.056,22153
"IMwin_IMscored",0.056,22557
"TimsOff",0.057,15021
"TimsOn",0.057,18097
"IMwin",0.057,22214
"IMwin_IMscored",0.057,22588
"TimsOff",0.058,15068
"TimsOn",0.058,18151
"IMwin",0.058,22274
"IMwin_IMscored",0.058,22660
"TimsOff",0.059,15136
"TimsOn",0.059,18234
"IMwin",0.059,22343
"IMwin_IMscored",0.059,22713
"TimsOff",0.06,15168
"TimsOn",0.06,18280
"IMwin",0.06,22405
"IMwin_IMscored",0.06,22753
"TimsOff",0.061,15214
"TimsOn",0.061,18336
"IMwin",0.061,22458
"IMwin_IMscored",0.061,22801
"TimsOff",0.062,15253
"TimsOn",0.062,18384
"IMwin",0.062,22519
"IMwin_IMscored",0.062,22871
"TimsOff",0.063,15307
"TimsOn",0.063,18420
"IMwin",0.063,22568
"IMwin_IMscored",0.063,22928
"TimsOff",0.064,15346
"TimsOn",0.064,18478
"IMwin",0.064,22627
"IMwin_IMscored",0.064,22974
"TimsOff",0.065,15419
"TimsOn",0.065,18512
"IMwin",0.065,22693
"IMwin_IMscored",0.065,23010
"TimsOff",0.066,15458
